page,id,title,url,path,primaryartist_id,primaryartist_name,Sentimental
,,Stay,https://genius.com/Rihanna-stay-lyrics,,,Rihanna feat. Mikky Ekko,Negative
,,Say Something,https://genius.com/A-great-big-world-say-something-lyrics,,,"A Great Big World, Christina Aguilera",Negative
,,Small Bump,https://genius.com/Ed-sheeran-small-bump-lyrics,,,Ed Sheeran,Negative
,,Teardrops,https://genius.com/Bring-me-the-horizon-teardrops-lyrics,,,Bring Me The Horizon,Negative
,,Buy the Stars,https://genius.com/Marina-buy-the-stars-lyrics,,,MARINA,Negative
,,Old Money,https://genius.com/Lana-del-rey-old-money-lyrics,,,Lana Del Rey,Negative
,,Happiest Year,https://genius.com/Jaymes-young-happiest-year-lyrics,,,Jaymes Young,Negative
,,I'll Never Love Again (Extended Version),https://genius.com/Lady-gaga-ill-never-love-again-extended-version-lyrics,,,Lady Gaga,Negative
,,26,https://genius.com/Paramore-26-lyrics,,,Paramore,Negative
,,Stay,https://genius.com/Miley-cyrus-stay-lyrics,,,Miley Cyrus,Negative
,,Lithium,https://genius.com/Evanescence-lithium-lyrics,,,Evanescence,Negative
,,What They'll Say About Us,https://genius.com/Finneas-what-theyll-say-about-us-lyrics,,,FINNEAS,Negative
,,Ruby,https://genius.com/Foster-the-people-ruby-lyrics,,,Foster the People,Negative
,,Bones,https://genius.com/Rosie-carney-bones-lyrics,,,Rosie Carney,Negative
,,Casanova,https://genius.com/Allie-x-casanova-lyrics,,,Allie X,Negative
,,Float On,https://genius.com/Billie-eilish-everything-i-wanted-lyrics,,,Modest Mouse,Negative
,,Love in the Dark,https://genius.com/Adele-love-in-the-dark-lyrics,,,Adele,Negative
,,The Scientist,https://genius.com/Coldplay-the-scientist-lyrics,,,Coldplay,Negative
,,Falling Short,https://genius.com/Lapsley-falling-short-lyrics,,,Lapsley,Negative
,,Look After You,https://genius.com/The-fray-look-after-you-lyrics,,,The Fray,Negative
,,Forever & Always,https://genius.com/Taylor-swift-forever-and-always-lyrics,,,Taylor Swift,Negative
,,A Little Bit Longer,https://genius.com/Jonas-brothers-a-little-bit-longer-lyrics,,,Jonas Brothers,Negative
,,feel something,https://genius.com/Bea-miller-feel-something-lyrics,,,Bea Miller,Negative
,,Clair De Facilites,https://genius.com/Flight-facilities-clair-de-lune-lyrics,,,Flight Facilities,Negative
,,All Love,https://genius.com/Fletcher-all-love-lyrics,,,FLETCHER,Negative
,,i'm so tired...,https://genius.com/Lauv-and-troye-sivan-im-so-tired-lyrics,,,"Lauv, Troye Sivan",Negative
,,Liability,https://genius.com/Lorde-liability-lyrics,,,Lorde,Negative
,,Sad Forever,https://genius.com/Lauv-sad-forever-lyrics,,,Lauv,Negative
,,Hate Me (with Juice WRLD),https://genius.com/Ellie-goulding-and-juice-wrld-hate-me-lyrics,,,"Ellie Goulding, Juice WRLD",Negative
,,Short Change Hero,https://genius.com/Raye-please-dont-touch-lyrics,,,The Heavy,Negative
,,Rainbow,https://genius.com/Kacey-musgraves-rainbow-lyrics,,,Kacey Musgaves,Negative
,,struggle,https://genius.com/Tove-lo-struggle-lyrics,,,Tove Lo,Negative
,,It's All in Vain,https://genius.com/Wet-its-all-in-vain-lyrics,,,Wet,Negative
,,Why Do You Love Me,https://genius.com/Charlotte-lawrence-why-do-you-love-me-lyrics,,,Charlotte Lawrence,Negative
,,Thoughts,https://genius.com/Sasha-sloan-thoughts-lyrics,,,Sasha Sloan,Negative
,,Undrunk,https://genius.com/Fletcher-undrunk-lyrics,,,FLETCHER,Negative
,,Morphine,https://genius.com/Lights-morphine-lyrics,,,Lights,Negative
,,Good Things Fall Apart,https://genius.com/Illenium-and-jon-bellion-good-things-fall-apart-lyrics,,,"ILLENIUM, Jon Bellion",Negative
,,Falling Down,https://genius.com/Lil-peep-and-xxxtentacion-falling-down-lyrics,,,"Lil Peep, XXXTENTACION",Negative
,,You Owe Me,https://genius.com/The-chainsmokers-you-owe-me-lyrics,,,The Chainsmokers,Negative
,,Creep,https://genius.com/Radiohead-creep-lyrics,,,Radiohead,Negative
,,In The End,https://genius.com/Linkin-park-in-the-end-lyrics,,,Linkin Park,Negative
,,Numb,https://genius.com/Linkin-park-numb-lyrics,,,Linkin Park,Negative
,,Bring Me To Life,https://genius.com/Evanescence-bring-me-to-life-lyrics,,,Evanescence,Negative
,,Broken,https://genius.com/Seether-broken-lyrics,,,Seether,Negative
,,Lips Of An Angel,https://genius.com/Hinder-lips-of-an-angel-lyrics,,,Hinder,Negative
,,Paralyzer,https://genius.com/Finger-eleven-paralyzer-lyrics,,,Finger Eleven,Negative
,,Can You Feel My Heart,https://genius.com/Bring-me-the-horizon-can-you-feel-my-heart-lyrics,,,Bring Me The Horizon,Negative
,,Low,https://genius.com/Lund-low-lyrics,,,Lund,Negative
