page,id,,url,path,primaryartist_id,primaryartist_name,Sentimental,genre
,,Enter Sandman,https://genius.com/Metallica-enter-sandman-lyrics,,,Metallica,Negative,Heavy Metal
,,Black,https://genius.com/Sevendust-black-lyrics,,,Sevendust,Negative,Heavy Metal
,,Night Crawler,https://genius.com/Judas-priest-night-crawler-lyrics,,,Judas Priest,Negative,Heavy Metal
,,Love You To Death,https://genius.com/Type-o-negative-love-you-to-death-lyrics,,,Type O Negative,Negative,Heavy Metal
,,Spit It Out,https://genius.com/Slipknot-spit-it-out-lyrics,,,Slipknot,Negative,Heavy Metal
,,Bulletproof Love,https://genius.com/Bring-me-the-horizon-dear-diary-lyrics,,,Pierce the Veil,Negative,Heavy Metal
,,Far Away,https://genius.com/Draconian-sleepwalkers-lyrics,,,Nickelback,Negative,Heavy Metal
,,One Day the Only Butterflies Left Will Be in Your Chest as You March Towards Your Death,https://genius.com/Architects-animals-lyrics,,,Bring Me The Horizon,Negative,Heavy Metal
,,Suffering,https://genius.com/Limbs-us-suffering-lyrics,,,LIMBS,Negative,Heavy Metal
,,Her Last Words,https://genius.com/Vrsty-shameless-lyrics,,,Courtney Parker,Negative,Heavy Metal
,,Guillotine,https://genius.com/You-me-at-six-beautiful-way-lyrics,,,Jon Bellion,Negative,Rock
,,Dirty,https://genius.com/Grandson-dirty-lyrics,,,grandson,Negative,Rock
,,Don't take your guns to town,https://genius.com/Yungblud-god-save-me-but-dont-drown-me-out-lyrics,,,Johnny Cash,Negative,Rock
,,Hurt,https://genius.com/Falling-in-reverse-carry-on-lyrics,,,Johnny Cash,Negative,Rock
,,pumped up kicks,https://genius.com/Slaves-usa-talk-to-a-friend-lyrics,,,foster the people,Negative,Rock
,,The Man Who Couldn't Cry,https://genius.com/Highly-suspect-canals-lyrics,,,Johnny Cash,Negative,Rock
,,Shot In The Dark,https://genius.com/Ac-dc-shot-in-the-dark-lyrics,,,AC/CD,Negative,Rock
,,Stolen Innocence,https://genius.com/Poorstacy-dont-look-at-me-lyrics,,,Courtney Parker,Negative,Rock
,,Sweet Child O' Mine,https://genius.com/Guns-n-roses-sweet-child-o-mine-lyrics,,,Guns N' Roses,Positive,Rock
,,Walk This Way,https://genius.com/Aerosmith-walk-this-way-lyrics,,,Aerosmith,Negative,Rock
,,Grenade,https://genius.com/Big-sean-wolves-lyrics,,,Bruno Mars,Negative,Rap
,,Let Her Go,https://genius.com/Dj-khaled-popstar-lyrics,,,Passenger,Negative,Rap
,,Black and Yellow,https://genius.com/Wiz-khalifa-black-and-yellow-lyrics,,,Wiz Khalifa,Negative,Rap
,,We Own It,https://genius.com/2-chainz-and-wiz-khalifa-we-own-it-fast-and-furious-lyrics,,,"2 Chainz, Wiz Khalifa",Negative,Rap
,,No Role Modelz,https://genius.com/J-cole-no-role-modelz-lyrics,,,J. Cole,Negative,Rap
,,goosebumps,https://genius.com/Travis-scott-goosebumps-lyrics,,,Travis Scott,Negative,Rap
,,Castle On The Hill,https://genius.com/Dababy-rockstar-lyrics,,,Ed Sheeran,Negative,Rap
,,rockstar,https://genius.com/Post-malone-rockstar-lyrics,,,"Post Malone, 21 Savage",Negative,Rap
,,Lucid Dreams,https://genius.com/Juice-wrld-lucid-dreams-lyrics,,,Juice WRLD,Negative,Rap
,,Look Like,https://genius.com/Eminem-godzilla-lyrics,,,Young Pinch,Negative,Rap
,,HUMBLE.,https://genius.com/Kendrick-lamar-humble-lyrics,,,Kendrick Lamar,Negative,Rap
,,Mask Off,https://genius.com/Future-mask-off-lyrics,,,Future,Negative,Rap
,,Ruin My Life,https://genius.com/G-eazy-still-be-friends-lyrics,,,Zara Larsson,Negative,Rap
,,"Me, Myself & I",https://genius.com/Roddy-ricch-the-box-lyrics,,,G-Eazy,Negative,Rap
,,Set It Off,https://genius.com/Future-life-is-good-lyrics,,,Wolf In Sheep's Clothing,Negative,Rap
,,Se Te Nota,https://genius.com/Lele-pons-and-guaynaa-se-te-nota-lyrics,,,"Lele Pons, Guaynaa",Negative,Latin
,,Me Gusta,https://genius.com/Anitta-me-gusta-lyrics,,,"Anitta, Myke Towers, Cardi B",Positive,Latin
,,I'm Still Standing,https://genius.com/Bad-bunny-and-jhay-cortez-dakiti-lyrics,,,Elton John,Positive,Latin
,,No Drama,https://genius.com/Becky-g-and-ozuna-no-drama-lyrics,,,"Becky G, Ozuna",Positive,Latin
,,Confident,https://genius.com/Manuel-turizo-rauw-alejandro-and-myke-towers-la-nota-lyrics,,,Demi Lovato,Positive,Latin
,,Holding Out For A Hero,https://genius.com/Tini-and-alejandro-sanz-un-beso-en-madrid-lyrics,,,Bonnie Tyler,Positive,Latin
,,SUBEME LA RADIO,https://genius.com/Enrique-iglesias-subeme-la-radio-lyrics,,,"Enrique Iglesias, Descemer Bueno, Zion, & Lennox",Negative,Latin
,,Perfecta,https://genius.com/Luis-fonsi-and-farruko-perfecta-lyrics,,,"Luis Fonsi, Farruko",Negative,Latin
,,Pretend,https://genius.com/Cnco-pretend-lyrics,,,CNCO,Positive,Latin
,,Bidi Bidi Bom Bom,https://genius.com/Selena-bidi-bidi-bom-bom-lyrics,,,Selena,Positive,Latin
,,Livin' la Vida Loca,https://genius.com/Ricky-martin-livin-la-vida-loca-lyrics,,,Ricky Martin,Positive,Latin
,,Hips Don't Lie,https://genius.com/Shakira-hips-dont-lie-lyrics,,,"Shakira, Wyclef Jean",Positive,Latin
,,I Know You Want Me (Calle Ocho),https://genius.com/Pitbull-i-know-you-want-me-calle-ocho-lyrics,,,Pitbull,Positive,Latin
,,Obesion,https://genius.com/Aventura-obsesion-lyrics,,,"Aventura, Judy Santos",Negative,Latin
,,Despacito,https://genius.com/Luis-fonsi-despacito-lyrics,,,"Luis Fonsi, Daddy Yankee",Negative,Latin
,,No Other Way,https://genius.com/Shaed-no-other-way-lyrics,,,SHAED,Positive,Pop
,,Wake Me Up Before You Go-Go,https://genius.com/Ariana-grande-positions-lyrics,,,Wham!,Positive,Pop
,,Lonely,https://genius.com/Justin-bieber-and-benny-blanco-lonely-lyrics,,,"Justin Bieber, benny blanco",Negative,Pop
,,Fake,https://genius.com/Lauv-and-conan-gray-fake-lyrics,,,"Lauv, Conan Gray",Negative,Pop
,,Without Me,https://genius.com/Julia-michaels-lie-like-this-lyrics,,,Halsey,Negative,Pop
,,Do re mi,https://genius.com/Machine-gun-kelly-forget-me-too-lyrics,,,Blackbear,Negative,Pop
,,F.F.F.,https://genius.com/Bea-miller-wisdom-teeth-lyrics,,,Bebe Rexha,Negative,Pop
,,I Hope,https://genius.com/Gabby-barrett-i-hope-lyrics,,,Gabby Barrett,Negative,Pop
